oldCats,newCats
no data,
svært kalkfattig,svært kalkfattig
temmelig kalkfattig,temmelig kalkfattig
svæk intermediær,svæk intermediær
litt kalkrik,litt kalkrik
svært kalkrik,svært kalkrik
