VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Aristias megalops;G. O. Sars, 1895;;Animalia/Arthropoda/Malacostraca/Amphipoda/Aristiidae/Aristias/megalops;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Armeria scabra;Pall. ex Roem. & Schult.;sibirkoll;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Plumbaginaceae/Armeria/scabra;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;A3(c,e)
Arnica angustifolia;Vahl;smalsolblom;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Arnica/angustifolia;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A3(c,e); B2b(i,ii,iii,iv,v)"
Artemisia norvegica;Fr.;norsk malurt;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Artemisia/norvegica;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A3(c,e); B2a((i))b(ii,iii,iv,v)"
Arthothelium norvegicum;Coppins & Tønsberg;trønderflekklav;Fungi/Ascomycota/Arthoniomycetes/Arthoniales/Incertae sedis/Arthothelium/norvegicum;art;Laver;Fastlands-Norge med havområder;> 50 %;EN;C1
Artomyces cristatus;(Kauffman) Jülich;furutrompetkølle;Fungi/Basidiomycota/Agaricomycetes/Russulales/Auriscalpiaceae/Artomyces/cristatus;art;Sopper;Fastlands-Norge med havområder;> 50 %;EN;"B2a(i)b(iii,v); C2a(i)"
Ascidia callosa;Stimpson, 1852;skrukkesekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Ascidiidae/Ascidia/callosa;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Ascidia prunum;O. F. Müller, 1776;plommesekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Ascidiidae/Ascidia/prunum;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Atractylocarpus alpinus;(Schimp. ex Milde) Lindb.;sylmose;Plantae/Bryophyta/Bryopsida/Dicranales/Leucobryaceae/Atractylocarpus/alpinus;art;Moser;Fastlands-Norge med havområder;> 50 %;EN;C2a(i)
Atriplex lapponica;Pojark.;kolamelde;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Amaranthaceae/Atriplex/lapponica;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;B2c(iii,iv)
Axenyllodes echinatus;Fjellberg, 1988;;Animalia/Arthropoda/Entognatha/Collembola/Odontellidae/Axenyllodes/echinatus;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;VU;D2
Balaena mysticetus;Linnaeus, 1758;grønlandshval;Animalia/Chordata/Mammalia/Cetacea/Balaenidae/Balaena/mysticetus;art;Pattedyr (Norge);Fastlands-Norge med havområder;> 50 %;EN;D1
Balaenoptera acutorostrata;Lacépède, 1804;vågehval;Animalia/Chordata/Mammalia/Cetacea/Balaenopteridae/Balaenoptera/acutorostrata;art;Pattedyr (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Barbilophozia rubescens;(R.M.Schust. et Damsh.) Kartt. et L.Söderstr.;heiskjeggmose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Anastrophyllaceae/Barbilophozia/rubescens;art;Moser;Fastlands-Norge med havområder;> 50 %;DD;
Bathycrinicola curta;Warén, 1972);;Animalia/Mollusca/Gastropoda/Eulimoidea/Eulimidae/Bathycrinicola/curta;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Bembidion mckinleyi;Fall, 1926;;Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Bembidion/mckinleyi;art;Biller;Fastlands-Norge med havområder;> 50 %;VU;B2a((i))b(ii,iii)
Berghia norvegica;Odhner, 1939;;Animalia/Mollusca/Gastropoda/Nudibranchia/Aeolidiidae/Berghia/norvegica;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Biatora hypophaea;Printzen & Tønsberg;blåknopplav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Ramalinaceae/Biatora/hypophaea;art;Laver;Fastlands-Norge med havområder;> 50 %;NT;"A2(c)+3(c)+4(c); C1"
Biatora troendelagica;Holien & Printzen;trønderknopplav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Ramalinaceae/Biatora/troendelagica;art;Laver;Fastlands-Norge med havområder;> 50 %;CR;"A2(a,c)+4(a,c); C1"
Boltenia echinata;(Linnaeus, 1767);kaktussekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Pyuridae/Boltenia/echinata;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Bombus hyperboreus;Schönherr, 1809;tundrahumle;Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Bombus/hyperboreus;art;Vepser;Fastlands-Norge med havområder;> 50 %;NT;A3(c)
Bombus pyrrhopygus;Friese, 1902;polarhumle;Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Bombus/pyrrhopygus;art;Vepser;Fastlands-Norge med havområder;> 50 %;NT;A3(c)
Brachythecium novae-angliae;(Sull. & Lesq.) A.Jaeger;oremose;Plantae/Bryophyta/Bryopsida/Hypnales/Brachytheciaceae/Brachythecium/novae-angliae;art;Moser;Fastlands-Norge med havområder;> 50 %;NT;"B2a(i)b(ii,iii,iv); C1"
Brada rugosa;(Hansen, 1880);;Animalia/Annelida/Polychaeta/Terebellida/Flabelligeridae/Brada/rugosa;art;Leddormer;Fastlands-Norge med havområder;> 50 %;DD;
Braya linearis;Rouy;rosekarse;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Braya/linearis;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;B2b(ii,iii,iv,v)
Braya purpurascens;(R.Br.) Bunge ex Ledeb.;purpurkarse;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Braya/purpurascens;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;CR;B1a(i)b(iii,v)
Bubo scandiacus;(Linnaeus, 1758);snøugle;Animalia/Chordata/Aves/Strigiformes/Strigidae/Bubo/scandiacus;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;CR;D1
Buellia asterella;Poelt & Sulzer;stjernebønnelav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Physciaceae/Buellia/asterella;art;Laver;Fastlands-Norge med havområder;> 50 %;CR;"A3(c); C1+2a(ii); D1"
Buteo lagopus;(Pontoppidan, 1763);fjellvåk;Animalia/Chordata/Aves/Accipitriformes/Accipitridae/Buteo/lagopus;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Calidris minuta;(Leisler, 1812);dvergsnipe;Animalia/Chordata/Aves/Charadriiformes/Scolopacidae/Calidris/minuta;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LCº;D1
Calvitimela cuprea;Haugan & Timdal;;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Lecanoraceae/Calvitimela/cuprea;art;Laver;Fastlands-Norge med havområder;> 50 %;VU;"A3(c); C1; D1"
