VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Taraxacum cornutum;(Dahlst.) Dahlst.;hornløvetann;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Taraxacum/cornutum;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;B2a((i))b(ii,iii,iv)
Taraxacum dovrense;(Dahlst.) Dahlst.;dovreløvetann;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Taraxacum/dovrense;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B1a(i)b(i,ii,iii,iv,v)+2a(i)b(i,ii,iii,iv,v)
Taraxacum hjeltii;(Dahlst.) Dahlst.;praktløvetann;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Taraxacum/hjeltii;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;B2a((i))b(iii)
Taraxacum norvegicum;(Dahlst.) Dahlst.;finnmarksløvetann;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Taraxacum/norvegicum;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(iii)
Tetracanthella arctica;Cassagnau, 1959;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Tetracanthella/arctica;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Tetraplodon blyttii;Frisvoll;kuppellemenmose;Plantae/Bryophyta/Bryopsida/Splachnales/Splachnaceae/Tetraplodon/blyttii;art;Moser;Fastlands-Norge med havområder;> 50 %;VU;D1
Tetraplodon pallidus;I.Hagen;gull-lemenmose;Plantae/Bryophyta/Bryopsida/Splachnales/Splachnaceae/Tetraplodon/pallidus;art;Moser;Fastlands-Norge med havområder;> 50 %;NT;A3(c)
Thujacorticium zurhausenii;(Bres.) Nakasone;trollskinn;Fungi/Basidiomycota/Agaricomycetes/Incertae sedis Agaricomycetes/Incertae sedis/Thujacorticium/zurhausenii;art;Sopper;Fastlands-Norge med havområder;> 50 %;EN;C2a(i)
Tolypella canadensis;Sawa;polarglattkrans;Plantae/Charophyta/Charophyceae/Charales/Characeae/Tolypella/canadensis;art;Alger;Fastlands-Norge med havområder;> 50 %;NT;B2b(iii)
Tolypella normaniana;(Nordstedt) Nordstedt;nordlandsglattkrans;Plantae/Charophyta/Charophyceae/Charales/Characeae/Tolypella/normaniana;art;Alger;Fastlands-Norge med havområder;> 50 %;NT;B2b(iii)
Trematodon laetevirens;Hakelier & J.-P.Frahm;flogtranemose;Plantae/Bryophyta/Bryopsida/Dicranales/Bruchiaceae/Trematodon/laetevirens;art;Moser;Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(iii)
Trichonta generosa;Gagné, 1981;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Trichonta/generosa;art;Tovinger;Fastlands-Norge med havområder;> 50 %;DD;
Trididemnum tenerum;(Verrill, 1871);spedsekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Didemnidae/Trididemnum/tenerum;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Tritonia griegi;Odhner, 1922;;Animalia/Mollusca/Gastropoda/Nudibranchia/Tritoniidae/Tritonia/griegi;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Tulostoma eckbladii;Jeppson, Altés, G. Moreno & E. Larss.;;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Agaricaceae/Tulostoma/eckbladii;art;Sopper;Fastlands-Norge med havområder;> 50 %;VU;D1
Tylobranchion nordgaardi;Hartmeyer, 1922;vestlandssekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Diazonidae/Tylobranchion/nordgaardi;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Typhlonereis gracilis;Hansen, 1879;;Animalia/Annelida/Polychaeta/Phyllodocida/Nereididae/Typhlonereis/gracilis;art;Leddormer;Fastlands-Norge med havområder;> 50 %;LC;
Typhochrestus sylviae;Hauge, 1968;tromsedderkopp;Animalia/Arthropoda/Arachnida/Araneae/Linyphiidae/Typhochrestus/sylviae;art;Edderkoppdyr;Fastlands-Norge med havområder;> 50 %;DD;
Uralaphorura schilovi;(Martynova, 1976);;Animalia/Arthropoda/Entognatha/Collembola/Onychiuridae/Uralaphorura/schilovi;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;NT;D2
Usnea longissima;Ach.;huldrestry;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Parmeliaceae/Usnea/longissima;art;Laver;Fastlands-Norge med havområder;> 50 %;EN;A2(a,c)
Vertagopus arcticus;Martynova, 1969;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Vertagopus/arcticus;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;NT;"A3c+4c; D2"
Vertagopus sarekensis;(Wahlgren, 1906);;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Vertagopus/sarekensis;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Vertigo parcedentata;(A. Braun, 1847);dovreknøttsnegl;Animalia/Mollusca/Gastropoda/Pulmonata/Vertiginidae/Vertigo/parcedentata;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;DD;
Woodsia glabella;R.Br. ex Richardson;dverglodnebregne;Plantae/Pteridophyta/Polypodiopsida/Polypodiales/Woodsiaceae/Woodsia/glabella;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Xenyllodes psammo;Fjellberg, 2009;;Animalia/Arthropoda/Entognatha/Collembola/Odontellidae/Xenyllodes/psammo;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;VU;D2
Xylodiscula planata;Høisæter & Johannessen, 2001;;Animalia/Mollusca/Gastropoda/Valvatoidea/Xylodisculidae/Xylodiscula/planata;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;DD;
Yoldia amygdalea;Valenciennes, 1846;speilskjell;Animalia/Mollusca/Bivalvia/Nuculanoida/Yoldiidae/Yoldia/amygdalea;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Yoldia hyperborea;Torell, 1859;;Animalia/Mollusca/Bivalvia/Nuculanoida/Yoldiidae/Yoldia/hyperborea;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Yoldiella intermedia;(M. Sars, 1865);;Animalia/Mollusca/Bivalvia/Nuculanoida/Yoldiidae/Yoldiella/intermedia;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Yoldiella propinqua;(Leche, 1878);;Animalia/Mollusca/Bivalvia/Nuculanoida/Yoldiidae/Yoldiella/propinqua;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Zygogonium norvegicum;Kadlubowska & Langangen;;Plantae/Streptophyta/Zygnematophyceae/Zygnematales/Zygnemataceae/Zygogonium/norvegicum;art;Alger;Fastlands-Norge med havområder;> 50 %;VU;D2
Acanthis flammea;(Linnaeus, 1758);gråsisik;Animalia/Chordata/Aves/Passeriformes/Fringillidae/Acanthis/flammea;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Aconitum septentrionale;Koelle;tyrihjelm;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Aconitum/septentrionale;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Actenoptera hilarella;(Zetterstedt, 1847);;Animalia/Arthropoda/Insecta/Diptera/Piophilidae/Actenoptera/hilarella;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Agrostis mertensii;Trin.;fjellkvein;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Agrostis/mertensii;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Alchemilla borealis;Sam. ex Juz.;tromsmarikåpe;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Alchemilla/borealis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Alchemilla murbeckiana;Buser;nyremarikåpe;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Alchemilla/murbeckiana;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Alchemilla wichurae;(Buser) Stefansson;skarmarikåpe;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Alchemilla/wichurae;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Allomyella portenkoi;(Stackelberg, 1952);;Animalia/Arthropoda/Insecta/Diptera/Scathophagidae/Allomyella/portenkoi;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Aloconota eichhoffi;(Scriba, 1868);;Animalia/Arthropoda/Insecta/Coleoptera/Staphylinidae/Aloconota/eichhoffi;art;Biller;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(iii)
Amage auricula;Malmgren, 1866;;Animalia/Annelida/Polychaeta/Terebellida/Ampharetidae/Amage/auricula;art;Leddormer;Fastlands-Norge med havområder;25 - 50 %;LC;
Amblyraja radiata;(Donovan, 1808);kloskate;Animalia/Chordata/Elasmobranchii/Rajiformes/Rajidae/Amblyraja/radiata;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Ammodytes marinus;Raitt, 1934;havsil;Animalia/Chordata/Actinopterygii/Perciformes/Ammodytidae/Ammodytes/marinus;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Anastrepta orcadensis;(Hook.) Schiffn.;heimose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Anastrophyllaceae/Anastrepta/orcadensis;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Anastrophyllum assimile;(Mitt.) Steph.;rugledraugmose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Anastrophyllaceae/Anastrophyllum/assimile;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Anatella crispa;Zaitzev, 1994;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Anatella/crispa;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B1a((i))b(iii)
Anatella fungina;Plassmann, 1984;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Anatella/fungina;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Andreaea alpina;Hedw.;felesotmose;Plantae/Bryophyta/Andreaeopsida/Andreaeales/Andreaeaceae/Andreaea/alpina;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Andreaea crassinervia;Bruch;svasotmose;Plantae/Bryophyta/Andreaeopsida/Andreaeales/Andreaeaceae/Andreaea/crassinervia;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Andreaea frigida;Huebener;strandsotmose;Plantae/Bryophyta/Andreaeopsida/Andreaeales/Andreaeaceae/Andreaea/frigida;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;C2a(i)
Andreaea megistospora;B.M.Murray;storsporesotmose;Plantae/Bryophyta/Andreaeopsida/Andreaeales/Andreaeaceae/Andreaea/megistospora;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Andreaea nivalis;Hook.;snøsotmose;Plantae/Bryophyta/Andreaeopsida/Andreaeales/Andreaeaceae/Andreaea/nivalis;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Anelasma squalicola;(Lovén, 1844);;Animalia/Arthropoda/Maxillopoda/Pedunculata/Anelasmatidae/Anelasma/squalicola;art;Krepsdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Anomoloma albolutescens;(Romell) Niemelä & K.H. Larss.;gullfrynsekjuke;Fungi/Basidiomycota/Agaricomycetes/Amylocorticiales/Amylocorticiaceae/Anomoloma/albolutescens;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;D1
Antennaria villifera;Boriss.;sølvkattefot;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Antennaria/villifera;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;"A3(c,e); B2a((i))b(i,ii,iii,iv,v)"
Anthus pratensis;(Linnaeus, 1758);heipiplerke;Animalia/Chordata/Aves/Passeriformes/Motacillidae/Anthus/pratensis;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Antrodiella citrinella;Niemelä & Ryvarden;gul snyltekjuke;Fungi/Basidiomycota/Agaricomycetes/Polyporales/Phanerochaetaceae/Antrodiella/citrinella;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C1
Aplidium pallidum;(Verrill, 1871);bleiksekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Polyclinidae/Aplidium/pallidum;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Aplidium spitzbergense;Hartmeyer, 1903;svalbardsekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Polyclinidae/Aplidium/spitzbergense;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Aplidium turbinatum;(Savigny, 1816);kjeglesekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Polyclinidae/Aplidium/turbinatum;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Aplodon wormskioldii;(Hornem.) R.Br.;kadavermose;Plantae/Bryophyta/Bryopsida/Splachnales/Splachnaceae/Aplodon/wormskioldii;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;C2a(i)
Apolochus borealis;(Enequist, 1949);;Animalia/Arthropoda/Malacostraca/Amphipoda/Amphilochidae/Apolochus/borealis;art;Krepsdyr;Fastlands-Norge med havområder;25 - 50 %;DD;
Arabidopsis petraea;(L.) V.I.Dorof.;aurskrinneblom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Arabidopsis/petraea;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Arabis wahlenbergii;Jord.;snau bergskrinneblom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Arabis/wahlenbergii;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;B1b(ii,iii,iv,v)+2b(ii,iii,iv,v)
Arctoa hyperborea;(Gunnerus ex Dicks.) Bruch & Schimp.;skortejøkelmose;Plantae/Bryophyta/Bryopsida/Dicranales/Rhabdoweisiaceae/Arctoa/hyperborea;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;A3(c)
Arctocetraria andrejevii;(Oxner) Kärnefelt & T;polarskjerpe;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Parmeliaceae/Arctocetraria/andrejevii;art;Laver;Fastlands-Norge med havområder;25 - 50 %;CR;"C1+2a(i,ii); D1"
Arctous alpina;(L.) Nied.;rypebær;Plantae/Magnoliophyta/Eudicots/Ericales/Ericaceae/Arctous/alpina;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Arenaria norvegica;Gunnerus;skredarve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Arenaria/norvegica;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Argentina silus;(Ascanius, 1775);vassild;Animalia/Chordata/Actinopterygii/Osmeriformes/Argentinidae/Argentina/silus;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Aria rupicola;(Syme) Mezhenskyj;bergasal;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Aria/rupicola;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Arnellia fennica;(Gottsche) Lindb.;kragemose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Arnelliaceae/Arnellia/fennica;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;"B2a(i)b(iii); C1+2a(i)"
Ascidia conchilega;Müller, 1776;skjellsamlersekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Ascidiidae/Ascidia/conchilega;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Ascidia mentula;O.F. Müller, 1776;fallossekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Ascidiidae/Ascidia/mentula;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Ascidia obliqua;Alder, 1863;skjevsekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Ascidiidae/Ascidia/obliqua;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Ascidia virginea;O. F. Müller, 1776;lillasekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Ascidiidae/Ascidia/virginea;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Asio flammeus;(Pontoppidan, 1763);jordugle;Animalia/Chordata/Aves/Strigiformes/Strigidae/Asio/flammeus;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Astragalus alpinus;L.;setermjelt;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Astragalus/alpinus;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Astragalus frigidus;(L.) A.Gray;gulmjelt;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Astragalus/frigidus;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Astragalus norvegicus;Grauer;blåmjelt;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Astragalus/norvegicus;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Atheta sundti;Strand, 1971;;Animalia/Arthropoda/Insecta/Coleoptera/Staphylinidae/Atheta/sundti;art;Biller;Fastlands-Norge med havområder;25 - 50 %;DD;
Atocion rupestre;(L.) Oxelman;småsmelle;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Atocion/rupestre;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Atriplex praecox;Hülph.;;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Amaranthaceae/Atriplex/praecox;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Aulacomnium turgidum;(Wahlenb.) Schwägr.;fjellfiltmose;Plantae/Bryophyta/Bryopsida/Aulacomniales/Aulacomniaceae/Aulacomnium/turgidum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Aulactinia stella;Verrill, 1864;;Animalia/Cnidaria/Anthozoa/Actiniaria/Actiniidae/Aulactinia/stella;art;Koralldyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Axinulus eumyarius;(M. Sars, 1870);;Animalia/Mollusca/Bivalvia/Lucinoida/Thyasiridae/Axinulus/eumyarius;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Bactrospora brodoi;Egea & Torrente;taigabendellav;Fungi/Ascomycota/Arthoniomycetes/Arthoniales/Roccellaceae/Bactrospora/brodoi;art;Laver;Fastlands-Norge med havområder;25 - 50 %;EN;C1
Ballistura borealis;(Axelson, 1905);;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Ballistura/borealis;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Balsamia aestivalis;(R. Heim & L. Rémy) K. Hansen, Skrede & T. Schumach.;polarmorkel;Fungi/Ascomycota/Pezizomycetes/Pezizales/Helvellaceae/Balsamia/aestivalis;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;D1
Bartsia alpina;L.;svarttopp;Plantae/Magnoliophyta/Eudicots/Lamiales/Orobanchaceae/Bartsia/alpina;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Basalys singularis;Nixon, 1980;;Animalia/Arthropoda/Insecta/Hymenoptera/Diapriidae/Basalys/singularis;art;Vepser;Fastlands-Norge med havområder;25 - 50 %;VU;B2a((i))b(iii)
Betula nana;L.;risbjørk;Plantae/Magnoliophyta/Eudicots/Fagales/Betulaceae/Betula/nana;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Biatora aureolepra;Spribille & Tønsb.;glansknopplav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Ramalinaceae/Biatora/aureolepra;art;Laver;Fastlands-Norge med havområder;25 - 50 %;EN;C1
Bicellaria halterata;Collin, 1961;;Animalia/Arthropoda/Insecta/Diptera/Hybotidae/Bicellaria/halterata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Blindia caespiticia;(F.Weber & D.Mohr) Müll.Hal.;svøpsigmose;Plantae/Bryophyta/Bryopsida/Grimmiales/Seligeriaceae/Blindia/caespiticia;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Boletina atridentata;Polevoi & Hedmark, 2004;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Boletina/atridentata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B1a((i))b(iii)+2a((i))b(iii)
Boletina kowarzi;Stackelberg, 1943;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Boletina/kowarzi;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B1a((i))b(iii)+2a((i))b(iii)
Boletina nitiduloides;Zaitzev, 1994;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Boletina/nitiduloides;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Boletina pinusia;Maximova, 2001;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Boletina/pinusia;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Boletina takagii;Sasakawa & Kimura, 1974;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Boletina/takagii;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Bolitophila caspersi;Plassmann, 1956;;Animalia/Arthropoda/Insecta/Diptera/Bolitophilidae/Bolitophila/caspersi;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Bolitophila limitis;Polevoi, 1969;;Animalia/Arthropoda/Insecta/Diptera/Bolitophilidae/Bolitophila/limitis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Bolitophila sibirica;Ostroverkhova 1979;;Animalia/Arthropoda/Insecta/Diptera/Bolitophilidae/Bolitophila/sibirica;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Bolitophila triangulata;Edwards, 1941;;Animalia/Arthropoda/Insecta/Diptera/Bolitophilidae/Bolitophila/triangulata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Bombus alpinus;(Linnaeus, 1758);alpehumle;Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Bombus/alpinus;art;Vepser;Fastlands-Norge med havområder;25 - 50 %;LC;
Bombus balteatus;Dahlbom, 1832;fjellhumle;Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Bombus/balteatus;art;Vepser;Fastlands-Norge med havområder;25 - 50 %;LC;
Bombus muscorum;(Linnaeus, 1758);kysthumle;Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Bombus/muscorum;art;Vepser;Fastlands-Norge med havområder;25 - 50 %;NT;A2(c)
Botrychium boreale;J.Milde;fjellmarinøkkel;Plantae/Psilophyta/Psilotopsida/Ophioglossales/Ophioglossaceae/Botrychium/boreale;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Botrylloides aureus;Sars, 1851;purpurkolonisekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Botryllidae/Botrylloides/aureus;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Bovista cretacea;T.C.E. Fr.;krittrøyksopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Agaricaceae/Bovista/cretacea;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C1
Brachyopa cinerea;Wahlberg, 1844;arktisk sevjeblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Brachyopa/cinerea;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B2a(i)
Brachytheciastrum collinum;(Schleich. ex Müll.Hal.) Ignatov & Huttunen;kryplundmose;Plantae/Bryophyta/Bryopsida/Hypnales/Brachytheciaceae/Brachytheciastrum/collinum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Brachytheciastrum trachypodium;(Brid.) Ignatov & Huttunen;skortelundmose;Plantae/Bryophyta/Bryopsida/Hypnales/Brachytheciaceae/Brachytheciastrum/trachypodium;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Brachythecium cirrosum;(Schwägr.) Schimp.;fagerlundmose;Plantae/Bryophyta/Bryopsida/Hypnales/Brachytheciaceae/Brachythecium/cirrosum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Brachythecium tauriscorum;Molendo;blakklundmose;Plantae/Bryophyta/Bryopsida/Hypnales/Brachytheciaceae/Brachythecium/tauriscorum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Brada incrustata;Støp-Bowitz, 1948;;Animalia/Annelida/Polychaeta/Terebellida/Flabelligeridae/Brada/incrustata;art;Leddormer;Fastlands-Norge med havområder;25 - 50 %;LC;
Breutelia chrysocoma;(Hedw.) Lindb.;gullhårmose;Plantae/Bryophyta/Bryopsida/Bartramiales/Bartramiaceae/Breutelia/chrysocoma;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Brevicornu affinis;Zaitzev, 1988;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Brevicornu/affinis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Brevicornu disjunctum;Zaitzev, 1988;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Brevicornu/disjunctum;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Brevicornu occidentale;Zaitzev, 1988;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Brevicornu/occidentale;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B1a(i)b(iii)+2a(i)b(iii)
Brosme brosme;(Ascanius, 1772);brosme;Animalia/Chordata/Actinopterygii/Gadiformes/Gadidae/Brosme/brosme;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Bryoerythrophyllum ferruginascens;(Stirt.) Giacom.;knollfotmose;Plantae/Bryophyta/Bryopsida/Dicranales/Pottiaceae/Bryoerythrophyllum/ferruginascens;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Bryoria nitidula;(Th. Fr.) Brodo & D.;lappskjegg;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Parmeliaceae/Bryoria/nitidula;art;Laver;Fastlands-Norge med havområder;25 - 50 %;VU;"B1a((i))b(iii)+2a((i))b(iii); C1; D1"
Bryoria smithii;(Du Rietz) Brodo & D. Hawksw.;piggtrollskjegg;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Parmeliaceae/Bryoria/smithii;art;Laver;Fastlands-Norge med havområder;25 - 50 %;VU;C1
Bryum dixonii;Cardot;flomvrangmose;Plantae/Bryophyta/Bryopsida/Bryales/Bryaceae/Bryum/dixonii;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;D1
Bryum riparium;I.Hagen;kantknollvrangmose;Plantae/Bryophyta/Bryopsida/Bryales/Bryaceae/Bryum/riparium;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;D1
Bunodophoron melanocarpum;(Sw.) Wedin;kystkorallav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Sphaerophoraceae/Bunodophoron/melanocarpum;art;Laver;Fastlands-Norge med havområder;25 - 50 %;NT;C1
