"acceptedScientificName","taxa"
"Cladonia stellaris (Opiz) Pouzar & Vĕzda","lichens"
"Cladonia strepsilis (Ach.) Grognot","lichens"
"Cladonia stricta (Nyl.) Nyl.","lichens"
"Cladonia stygia (Fr.) Ruoss","lichens"
"Cladonia subcervicornis (Vain.) Kernst.","lichens"
"Cladonia subfurcata (Nyl.) Arnold","lichens"
"Cladonia subrangiformis L.Scriba ex Sandst.","lichens"
"Cladonia subulata (L.) Weber ex F.H.Wigg.","lichens"
"Cladonia sulphurina (Michx.) Fr.","lichens"
"Cladonia symphycarpa (Ehrh. ex Schrad.) Fr.","lichens"
"Cladonia turgida Ehrh. ex Hoffm.","lichens"
"Cladonia umbricola Tønsberg & Ahti","lichens"
"Cladonia uncialis (L.) Weber ex F.H.Wigg.","lichens"
"Cladonia zopfii Vain.","lichens"
"Claurouxia chalybeioides (Nyl.) D.Hawksw.","lichens"
"Clauzadea metzleri (Körb.) Clauzade & Cl.Roux ex D.Hawksw.","lichens"
"Clauzadea monticola (Ach.) Hafellner & Bellem.","lichens"
"Clauzadeana macula (Taylor) Coppins & Rambold","lichens"
"Cliostomum griffithii (Sm.) Coppins","lichens"
"Cliostomum leprosum (Räsänen) Holien & Tønsberg","lichens"
"Coccotrema citrinescens P.James & Coppins","lichens"
"Collema auriforme (With.) Coppins & J.R.Laundon","lichens"
"Collema bachmanianum (Fink) Degel.","lichens"
"Collema ceraniscum Nyl.","lichens"
"Collema coccophorum Tuck.","lichens"
"Collema conglomeratum Hoffm.","lichens"
"Collema crispum (Huds.) Weber ex F.H.Wigg.","lichens"
"Collema cristatum (L.) Weber ex F.H.Wigg.","lichens"
"Collema curtisporum Degel.","lichens"
"Collema fasciculare (L.) Weber ex F.H.Wigg.","lichens"
"Collema flaccidum (Ach.) Ach.","lichens"
"Collema fragrans (Sm.) Ach.","lichens"
"Collema furfuraceum (Schaer.) Du Rietz","lichens"
"Collema fuscovirens (With.) J.R.Laundon","lichens"
"Collema glebulentum (Nyl. ex Cromb.) Degel.","lichens"
"Collema leptaleum Tuck.","lichens"
"Collema limosum (Ach.) Ach.","lichens"
"Collema multipartitum Sm.","lichens"
"Collema nigrescens (Huds.) DC.","lichens"
"Collema occultatum Bagl.","lichens"
"Collema parvum Degel.","lichens"
"Collema polycarpon Hoffm.","lichens"
"Collema subflaccidum Degel.","lichens"
"Collema subnigrescens Degel.","lichens"
"Collema tenax (Sw.) Ach.","lichens"
"Collema undulatum Laurer ex Flot.","lichens"
"Cornicularia normoerica (Gunnerus) Du Rietz","lichens"
"Cryptothele granuliformis (Nyl.) Henssen","lichens"
"Cryptothele permiscens (Nyl.) Hellb.","lichens"
"Cybebe gracilenta (Ach.) Tibell","lichens"
"Cyphelium inquinans (Sm.) Trevis.","lichens"
"Cyphelium karelicum (Vain.) Räsänen","lichens"
"Cyphelium pinicola Tibell","lichens"
"Cyphelium tigillare (Ach.) Ach.","lichens"
"Cystocoleus ebeneus (Dillwyn) Thwaites","lichens"
"Degelia atlantica (Degel.) P.M.Jørg. & P.James","lichens"
"Degelia plumbea (Lightf.) P.M.Jørg. & P.James","lichens"
"Dendriscocaulon umhausense (Auersw.) Degel.","lichens"
"Dermatocarpella squamulosa (Ach.) H.Harada","lichens"
"Dermatocarpon arnoldianum Degel.","lichens"
"Dermatocarpon deminuens Vain.","lichens"
"Dermatocarpon intestiniforme (Körb.) Hasse","lichens"
"Dermatocarpon leptophyllodes (Nyl.) Zahlbr.","lichens"
"Dermatocarpon leptophyllum (Ach.) K.G.W.Lång","lichens"
"Dermatocarpon luridum (Dill. ex With.) J.R.Laundon","lichens"
"Dermatocarpon meiophyllizum Vain.","lichens"
"Dermatocarpon miniatum (L.) W.Mann","lichens"
"Dermatocarpon polyphyllizum (Nyl.) Blomb. & Forssell, 1880","lichens"
"Dermatocarpon rivulorum (Arnold) Dalla Torre & Sarnth.","lichens"
"Dibaeis baeomyces (L.f.) Rambold & Hertel","lichens"
"Dimelaena oreina (Ach.) Norman","lichens"
"Dimerella pineti (Ach.) Vĕzda","lichens"
"Diploicia canescens (Dicks.) A.Massal.","lichens"
"Diploschistes gypsaceus (Ach.) Zahlbr.","lichens"
"Diploschistes muscorum (Scop.) R.Sant.","lichens"
"Diploschistes scruposus (Schreb.) Norman","lichens"
"Dirina massiliensis Durieu & Mont.","lichens"
"Eiglera flavida (Hepp ex Kremp.) Hafellner","lichens"
"Endocarpon adscendens (Anzi) Müll.Arg.","lichens"
"Endocarpon pulvinatum Th.Fr.","lichens"
"Endocarpon pusillum Hedw.","lichens"
"Enterographa hutchinsiae (Leight.) A.Massal.","lichens"
"Enterographa zonata (Körb.) Källsten","lichens"
"Eopyrenula grandicula Coppins","lichens"
"Eopyrenula leucoplaca (Wallr.) R.C.Harris","lichens"
"Eopyrenula septemseptata Coppins","lichens"
"Ephebe hispidula (Ach.) Horw.","lichens"
"Ephebe lanata (L.) Vain.","lichens"
"Ephebe perspinulosa Nyl.","lichens"
"Epigloea renitens (Grummann) Döbbeler","lichens"
"Epilichen glauconigellus (Nyl.) Hafellner","lichens"
"Epilichen scabrosus (Ach.) Clem.","lichens"
"Erioderma pedicellatum (Hue) P.M.Jørg.","lichens"
"Euopsis granatina (Sommerf.) Nyl.","lichens"
"Euopsis pulvinata (Schaer.) Vain.","lichens"
"Evernia divaricata (L.) Ach.","lichens"
"Evernia mesomorpha Nyl.","lichens"
"Evernia prunastri (L.) Ach.","lichens"
"Farnoldia dissipabilis (Nyl.) Hertel, 1983","lichens"
"Farnoldia hypocrita (A.Massal.) Fröberg","lichens"
"Farnoldia jurana (Schaer.) Hertel","lichens"
"Farnoldia micropsis (A.Massal.) Hertel","lichens"
"Fellhanera bouteillei (Desm.) Vĕzda","lichens"
"Fellhanera subtilis (Vĕzda) Diederich & Sérus.","lichens"
"Flavoparmelia caperata (L.) Hale","lichens"
"Fulgensia bracteata (Hoffm.) Räsänen","lichens"
"Fulgensia desertorum (Tomin) Poelt","lichens"
"Fuscidea arboricola Coppins & Tønsberg","lichens"
"Fuscidea asyndeta (Nyl.) V.Wirth & Vezda","lichens"
"Fuscidea austera (Nyl.) P.James","lichens"
"Fuscidea cyathoides (Ach.) V.Wirth & Vĕzda","lichens"
"Fuscidea gothoburgensis (H.Magn.) V.Wirth & Vĕzda","lichens"
"Fuscidea intercincta (Nyl.) Poelt","lichens"
"Fuscidea kochiana (Hepp) V.Wirth & Vĕzda","lichens"
"Fuscidea lygaea (W.Mann) V.Wirth & Vĕzda","lichens"
"Fuscidea mollis (Wahlenb.) V.Wirth & Vĕzda","lichens"
"Fuscidea praeruptorum (Du Rietz & H.Magn.) V.Wirth & Vĕzda","lichens"
"Fuscidea pusilla Tønsberg","lichens"
"Fuscidea recensa (Stirt.) Hertel, V.Wirth & Vĕzda","lichens"
"Fuscidea tenebrica (Nyl.) V.Wirth & Vĕzda","lichens"
"Fuscopannaria ahlneri (P.M.Jørg.) P.M.Jørg.","lichens"
"Fuscopannaria confusa (P.M.Jørg.) P.M.Jørg.","lichens"
"Fuscopannaria ignobilis (Anzi) P.M.Jørg.","lichens"
"Fuscopannaria leucophaea (Vahl) P.M.Jørg.","lichens"
"Fuscopannaria mediterranea (Tav.) P.M.Jørg.","lichens"
"Fuscopannaria praetermissa (Nyl.) P.M.Jørg.","lichens"
"Fuscopannaria sampaiana (Tav.) P.M.Jørg.","lichens"
"Glypholecia scabra (Pers.) Müll.Arg.","lichens"
"Gomphillus calycioides (Delise ex Duby) Nyl.","lichens"
"Gonohymenia nigritella (Lettau) Henssen","lichens"
"Graphis elegans (Borrer ex Sm.) Ach.","lichens"
"Graphis scripta (L.) Ach.","lichens"
"Gyalecta derivata (Nyl.) H.Olivier","lichens"
"Gyalecta erythrozona Lettau","lichens"
"Gyalecta flotowii Körb.","lichens"
"Gyalecta foveolaris (Ach.) Schaer.","lichens"
"Gyalecta friesii Flot. ex Körb.","lichens"
"Gyalecta geoica (Wahlenb.) Ach.","lichens"
"Gyalecta jenensis (Batsch) Zahlbr.","lichens"
"Gyalecta kukriensis (Räsänen) Räsänen","lichens"
"Gyalecta peziza (Mont.) Anzi","lichens"
"Gyalecta truncigena (Ach.) Hepp","lichens"
"Gyalecta ulmi (Sw.) Zahlbr.","lichens"
"Gyalidea diaphana (Nyl.) Vĕzda","lichens"
"Gyalidea fritzei (Stein) Vĕzda","lichens"
"Gyalidea lecideopsis (A.Massal.) Lettau","lichens"
"Gyalidea rivularis (Eitner) J.Novák & Tobol.","lichens"
"Gyalidea roseola (Arnold) Lettau","lichens"
"Gyalidea scutellaris (Bagl. & Carestia) Lettau","lichens"
"Gyalideopsis anastomosans P.James & Vĕzda","lichens"
"Gyalideopsis muscicola P.James & Vĕzda","lichens"
"Gyalideopsis piceicola (Nyl.) Vĕzda & Poelt","lichens"
"Haematomma ochroleucum (Neck.) J.R.Laundon","lichens"
"Halecania alpivaga (Th.Fr.) M.Mayrhofer","lichens"
"Halecania ralfsii (Salwey ex Cromb.) M.Mayrhofer","lichens"
"Halecania spodomela (Nyl.) M.Mayrhofer","lichens"
"Halecania viridescens Coppins & P.James","lichens"
"Helocarpon crassipes Th.Fr.","lichens"
"Heppia lutosa (Ach.) Nyl.","lichens"
"Heterodermia speciosa (Wulfen) Trevis.","lichens"
"Hymenelia ceracea (Arnold) Poelt & Vezda","lichens"
"Hymenelia lacustris (With.) M.Choisy","lichens"
"Hymenelia obtecta (Vain.) Poelt & Vĕzda","lichens"
"Hymenelia ochrolemma (Vain.) Gowan & Ahti","lichens"
"Hymenelia prevostii (Duby) Kremp.","lichens"
"Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt","lichens"
"Hypocenomyce anthracophila (Nyl.) P.James & Gotth.Schneid.","lichens"
"Hypocenomyce caradocensis (Leight. ex Nyl.) P.James & Gotth.Schneid.","lichens"
"Hypocenomyce castaneocinerea (Räsänen) Timdal","lichens"
"Hypocenomyce friesii (Ach.) P.James & Gotth.Schneid.","lichens"
"Hypocenomyce leucococca R.Sant.","lichens"
"Hypocenomyce praestabilis (Nyl.) Timdal","lichens"
"Hypocenomyce scalaris (Ach.) M.Choisy","lichens"
"Hypocenomyce sorophora (Vain.) P.James & Poelt","lichens"
"Hypocenomyce xanthococca (Sommerf.) P.James & Gotth.Schneid.","lichens"
"Hypogymnia austerodes (Nyl.) Räsänen","lichens"
"Hypogymnia bitteri (Lynge) Ahti","lichens"
"Hypogymnia farinacea Zopf","lichens"
"Hypogymnia physodes (L.) Nyl.","lichens"
"Hypogymnia tubulosa (Schaer.) Hav.","lichens"
"Hypogymnia vittata (Ach.) Parrique","lichens"
"Hypotrachyna afrorevoluta (Krog & Swinscow) Krog & Swinscow","lichens"
"Hypotrachyna laevigata (Sm.) Hale","lichens"
"Hypotrachyna revoluta (Flörke) Hale","lichens"
"Hypotrachyna sinuosa (Sm.) Hale","lichens"
"Icmadophila ericetorum (L.) Zahlbr.","lichens"
"Immersaria athroocarpa (Ach.) Rambold & Pietschm.","lichens"
"Imshaugia aleurites (Ach.) S.L.F.Mey.","lichens"
"Ionaspis arctica Lynge","lichens"
"Ionaspis carnosula (Arnold) Arnold","lichens"
"Ionaspis chrysophana (Körb.) Stein","lichens"
"Ionaspis cyanocarpa (Anzi) Jatta","lichens"
"Ionaspis granvina Hav. ex P.M.Jørg.","lichens"
"Ionaspis heteromorpha (Kremp.) Th.Fr. ex Arnold","lichens"
"Ionaspis melanocarpa (Kremp.) Arnold","lichens"
"Ionaspis odora (Ach.) Stein","lichens"
"Ionaspis rhodopis (Sommerf.) Blomb. & Forssell","lichens"
"Ionaspis ventosa P.M.Jørg. & R.Sant.","lichens"
"Japewia subaurifera Muhr & Tønsberg","lichens"
"Japewia tornoensis (Nyl.) Tønsberg","lichens"
"Koerberiella wimmeriana (Körb.) Stein","lichens"
"Lasallia pustulata (L.) Mérat","lichens"
"Lauderlindsaya acroglypta (Norman) R.Sant.","lichens"
"Lecanactis abietina (Ehrh. ex Ach.) Körb.","lichens"
"Lecanactis dilleniana (Ach.) Körb.","lichens"
"Lecanactis latebrarum (Ach.) Arnold","lichens"
"Lecania aipospila (Wahlenb.) Th.Fr.","lichens"
"Lecania baeomma (Nyl.) P.James & J.R.Laundon","lichens"
"Lecania caeruleorubella (Mudd) M.Mayrhofer","lichens"
"Lecania cuprea (A.Massal.) van den Boom & Coppins","lichens"
"Lecania cyrtella (Ach.) Th.Fr.","lichens"
"Lecania dubitans (Nyl.) A.L.Sm.","lichens"
"Lecania erysibe (Ach.) Mudd","lichens"
"Lecania fuscella (Schaer.) A.Massal.","lichens"
"Lecania hutchinsiae (Nyl.) A.L.Sm.","lichens"
"Lecania inundata (Hepp ex Körb.) M.Mayrhofer","lichens"
"Lecania nylanderiana A.Massal.","lichens"
"Lecania olivacella (Nyl.) Zahlbr.","lichens"
"Lecania rabenhorstii (Hepp) Arnold","lichens"
"Lecania sambucina (Körb.) Zahlbr.","lichens"
"Lecanographa abscondita (Th.Fr.) Egea & Torrente","lichens"
"Lecanora achariana A.L.Sm.","lichens"
"Lecanora actophila Wedd.","lichens"
"Lecanora albella (Pers.) Ach.","lichens"
"Lecanora albescens (Hoffm.) Branth & Rostr.","lichens"
"Lecanora allophana (Ach.) Nyl.","lichens"
"Lecanora andrewii B.de Lesd.","lichens"
"Lecanora anopta Nyl.","lichens"
"Lecanora argentata (Ach.) Malme","lichens"
"Lecanora argopholis (Ach.) Ach.","lichens"
"Lecanora atrosulphurea (Wahlenb.) Ach.","lichens"
"Lecanora bicincta Ramond","lichens"
"Lecanora boligera (Norman ex Th.Fr.) Hedl.","lichens"
"Lecanora cadubriae (A.Massal.) Hedl.","lichens"
"Lecanora caesiosora Poelt","lichens"
"Lecanora campestris (Schaer.) Hue","lichens"
"Lecanora carpinea (L.) Vain.","lichens"
"Lecanora cateilea (Ach.) A.Massal.","lichens"
"Lecanora cavicola Creveld","lichens"
"Lecanora cenisia Ach.","lichens"
"Lecanora chlarotera Nyl.","lichens"
"Lecanora chloroleprosa (Vain.) H.Magn.","lichens"
"Lecanora chlorophaeodes Nyl.","lichens"
"Lecanora cinereofusca H.Magn.","lichens"
"Lecanora circumborealis Brodo & Vitik.","lichens"
"Lecanora confusa Almb.","lichens"
"Lecanora conizaeoides Nyl. ex Cromb.","lichens"
"Lecanora contractula Nyl.","lichens"
"Lecanora crenulata Hook.","lichens"
"Lecanora demissa (Flot. ex Körb.) Zahlbr.","lichens"
"Lecanora dispersa (Pers.) Sommerf.","lichens"
"Lecanora dovrensis Hedl.","lichens"
"Lecanora effusella Hedl.","lichens"
"Lecanora epanora (Ach.) Ach.","lichens"
"Lecanora epibryon (Ach.) Ach.","lichens"
"Lecanora expallens Ach.","lichens"
"Lecanora farinaria Borrer","lichens"
"Lecanora flavoleprosa Tønsberg","lichens"
"Lecanora frustulosa (Dicks.) Ach.","lichens"
"Lecanora fugiens Nyl.","lichens"
"Lecanora fuscescens (Sommerf.) Nyl.","lichens"
"Lecanora gangaleoides Nyl.","lichens"
"Lecanora gisleriana Müll.Arg.","lichens"
"Lecanora glabrata (Ach.) Malme","lichens"
"Lecanora hagenii (Ach.) Ach.","lichens"
"Lecanora handelii J.Steiner","lichens"
"Lecanora helicopis (Wahlenb.) Ach.","lichens"
"Lecanora hypopta (Ach.) Vain.","lichens"
"Lecanora hypoptella (Nyl.) Grummann","lichens"
"Lecanora hypoptoides (Nyl.) Nyl.","lichens"
"Lecanora impudens Degel.","lichens"
"Lecanora inamoena (Th.Fr.) Th.Fr.","lichens"
"Lecanora intricata (Ach.) Ach.","lichens"
"Lecanora intumescens (Rebent.) Rabenh.","lichens"
"Lecanora latro Poelt","lichens"
"Lecanora lecanoricola (Alstrup et al.) Rambold & Triebel","lichens"
"Lecanora leptacina Sommerf.","lichens"
"Lecanora leptyrodes (Nyl.) Degel.","lichens"
"Lecanora leucococca Sommerf.","lichens"
"Lecanora lojkaeana Szatala","lichens"
"Lecanora macrocyclos (H.Magn.) Degel.","lichens"
"Lecanora margacea Poelt","lichens"
"Lecanora marginata (Schaer.) Hertel & Rambold","lichens"
"Lecanora muralis (Schreb.) Rabenh.","lichens"
"Lecanora norvegica Tønsberg","lichens"
"Lecanora orae-frigidae R.Sant.","lichens"
"Lecanora orbicularis (Schaer.) Vain.","lichens"
"Lecanora orosthea (Ach.) Ach.","lichens"
"Lecanora paroptoides Nyl.","lichens"
"Lecanora paupera Th.Fr.","lichens"
"Lecanora persimilis (Th.Fr.) Nyl.","lichens"
"Lecanora phaeostigma (Körb.) Almb.","lichens"
"Lecanora piniperda Körb.","lichens"
"Lecanora poliophaea (Wahlenb.) Ach.","lichens"
"Lecanora polytropa (Hoffm.) Rabenh.","lichens"
"Lecanora populicola (DC.) Duby","lichens"
"Lecanora praesistens Nyl.","lichens"
"Lecanora pulicaris (Pers.) Ach.","lichens"
"Lecanora reagens Norman","lichens"
"Lecanora rimicola H.Magn.","lichens"
"Lecanora rugosella Zahlbr.","lichens"
"Lecanora rupicola (L.) Zahlbr.","lichens"
"Lecanora salicicola H.Magn.","lichens"
"Lecanora saligna (Schrad.) Zahlbr.","lichens"
"Lecanora salina H.Magn.","lichens"
"Lecanora sambuci (Pers.) Nyl.","lichens"
"Lecanora sarcopidoides (A.Massal.) A.L.Sm.","lichens"
"Lecanora septentrionalis H.Magn.","lichens"
"Lecanora soralifera (Suza) Räsänen","lichens"
"Lecanora straminea Ach.","lichens"
"Lecanora subaurea Zahlbr.","lichens"
"Lecanora subcarnea (Sw.) Ach.","lichens"
"Lecanora subintricata (Nyl.) Th.Fr.","lichens"
"Lecanora sublutea Massal.","lichens"
"Lecanora subrugosa Nyl.","lichens"
"Lecanora sulphurea (Hoffm.) Ach.","lichens"
"Lecanora swartzii (Ach.) Ach.","lichens"
"Lecanora symmicta (Ach.) Ach.","lichens"
"Lecanora tenera (Nyl.) Cromb.","lichens"
"Lecanora umbrina (Ach.) A.Massal.","lichens"
"Lecanora umbrosa Degel.","lichens"
"Lecanora varia (Hoffm.) Ach.","lichens"
"Lecanora vrangii Malme","lichens"
"Lecidea ahlesii (Körb.) Nyl.","lichens"
"Lecidea albofuscescens Nyl.","lichens"
"Lecidea alpestris Sommerf.","lichens"
"Lecidea altissima H.Magn.","lichens"
"Lecidea antiloga Stirt.","lichens"
"Lecidea atomaria Th.Fr.","lichens"
"Lecidea atrobrunnea (DC.) Schaer.","lichens"
"Lecidea atrocuprea Vain.","lichens"
"Lecidea atromarginata H.Magn.","lichens"
"Lecidea auriculata Th.Fr.","lichens"
"Lecidea betulicola (Kullh.) H.Magn.","lichens"
"Lecidea botryosa (Fr.) Th.Fr.","lichens"
"Lecidea brachyspora (Th.Fr.) Nyl.","lichens"
"Lecidea caesioatra Schaer.","lichens"
"Lecidea commaculans Nyl.","lichens"
"Lecidea concrescens Magnusson","lichens"
"Lecidea confluens (Weber) Ach.","lichens"
"Lecidea contenta H.Magn.","lichens"
"Lecidea degeliana Hertel","lichens"
"Lecidea delincta Nyl.","lichens"
"Lecidea diapensiae Th.Fr.","lichens"
"Lecidea diducens Nyl.","lichens"
"Lecidea distensa Vain.","lichens"
"Lecidea ecrustacea (Anzi ex Arnold) Arnold","lichens"
"Lecidea ementiens Nyl.","lichens"
"Lecidea enclitica Nyl.","lichens"
"Lecidea epiphaea Nyl.","lichens"
"Lecidea epiploica Norman","lichens"
"Lecidea erythrophaea Flörke ex Sommerf.","lichens"
"Lecidea fuliginosa Taylor","lichens"
"Lecidea fuscoatra (L.) Ach.","lichens"
"Lecidea haerjedalica H.Magn.","lichens"
"Lecidea hardangeriana H.Magn.","lichens"
"Lecidea homosema Nyl.","lichens"
"Lecidea huxariensis (Beckh. ex J.Lahm) Zahlbr.","lichens"
"Lecidea hypochlorella Vain.","lichens"
"Lecidea ileiformis Fr.","lichens"
"Lecidea inops Th.Fr.","lichens"
"Lecidea interludens Nyl.","lichens"
"Lecidea invenusta H.Magn.","lichens"
"Lecidea irrumpens Hertel","lichens"
"Lecidea ivalensis Vain.","lichens"
"Lecidea lapicida (Ach.) Ach.","lichens"
"Lecidea latypizodes Nyl.","lichens"
"Lecidea lepadina Sommerf.","lichens"
"Lecidea leprarioides Tønsberg","lichens"
"Lecidea leucothallina Arnold","lichens"
"Lecidea limosa Ach.","lichens"
"Lecidea lithophila (Ach.) Ach.","lichens"
"Lecidea lithophiloides Müll.Arg.","lichens"
"Lecidea longiconidia H.Magn.","lichens"
"Lecidea ludificans H.Magn.","lichens"
"Lecidea lurida Ach.","lichens"
"Lecidea luteoatra Nyl.","lichens"
"Lecidea margaritella Hulting","lichens"
"Lecidea moerensis H.Magn.","lichens"
"Lecidea morbifera Vain.","lichens"
"Lecidea mougeotioides H.Magn.","lichens"
"Lecidea nylanderi (Anzi) Th.Fr.","lichens"
"Lecidea olivascens Th.Fr.","lichens"
"Lecidea paanaensis Räsänen & Laurila","lichens"
"Lecidea paraclitica Nyl.","lichens"
"Lecidea phaeops Nyl.","lichens"
"Lecidea plana (J.Lahm ex Körb.) Nyl.","lichens"
"Lecidea plebeja Nyl.","lichens"
"Lecidea polycocca Sommerf.","lichens"
"Lecidea porphyrospoda (Anzi) Th.Fr.","lichens"
"Lecidea praenubila Nyl.","lichens"
"Lecidea praetermissa Tønsberg","lichens"
"Lecidea prasinolepis (Nyl.) Th.Fr.","lichens"
"Lecidea pruinosula Magnusson","lichens"
"Lecidea pseudoconfluens","lichens"
"Lecidea pullata (Norman) Th.Fr.","lichens"
"Lecidea pycnocarpa (Körb.) Ohlert","lichens"
"Lecidea ramulosa Th.Fr.","lichens"
"Lecidea roseotincta Coppins & Tønsberg","lichens"
"Lecidea rufofusca (Anzi) Nyl.","lichens"
"Lecidea sarcodea Nyl.","lichens"
"Lecidea sarcogynoides Körb.","lichens"
"Lecidea septentrionalis Th.Fr.","lichens"
"Lecidea silacea (Hoffm.) Ach.","lichens"
"Lecidea sphaerella Hedl.","lichens"
"Lecidea subapplanata H.Magn.","lichens"
"Lecidea subconfluescens Zahlbr.","lichens"
"Lecidea subfuscescens Vain.","lichens"
"Lecidea subreagens H.Magn.","lichens"
"Lecidea subrhagadiella Lynge","lichens"
"Lecidea tessellata Flörke","lichens"
"Lecidea tuberculifera Magnusson","lichens"
"Lecidea turficola (Hellb.) Th.Fr.","lichens"
"Lecidea turgidula Fr.","lichens"
"Lecidea umbonata (Hepp) Mudd","lichens"
"Lecidea verruca Poelt","lichens"
"Lecidella achristotera (Nyl.) Hertel & Leuckert","lichens"
"Lecidella anomaloides (A.Massal.) Hertel & H.Kilias","lichens"
"Lecidella bullata Körber","lichens"
"Lecidella carpathica Körb.","lichens"
"Lecidella effugiens (Nilson) Knoph & Hertel","lichens"
"Lecidella elaeochroma (Ach.) M.Choisy","lichens"
"Lecidella euphorea (Flörke) Hertel","lichens"
"Lecidella flavosorediata (Vĕzda) Hertel & Leuckert","lichens"
"Lecidella laureri (Hepp) Körb.","lichens"
"Lecidella meiococca (Nyl.) Leuckert & Hertel","lichens"
"Lecidella patavina (A.Massal.) Knoph & Leuckert","lichens"
"Lecidella scabra (Taylor) Hertel & Leuckert","lichens"
"Lecidella stigmatea (Ach.) Hertel & Leuckert","lichens"
"Lecidella subviridis Tønsberg","lichens"
"Lecidella wulfenii (Ach.) Körb.","lichens"
"Lecidoma demissum (Rutstr.) Gotth.Schneid. & Hertel","lichens"
"Leciophysma finmarkicum Th.Fr.","lichens"
"Leciophysma furfurascens (Nyl.) Gyeln.","lichens"
"Lemmopsis arnoldiana (Hepp) Zahlbr.","lichens"
"Lempholemma botryosum (A.Massal.) Zahlbr.","lichens"
"Lempholemma cladodes (Tuck.) Zahlbr.","lichens"
"Lempholemma intricatum (Arnold) Zahlbr.","lichens"
"Lempholemma isidiodes (Nyl. ex Arnold) H.Magn.","lichens"
"Lempholemma polyanthes (Schrad.) Malme","lichens"
"Lempholemma radiatum (Sommerf.) Henssen","lichens"
"Lepraria borealis Loht. & Tønsberg","lichens"
"Lepraria caesioalba (B.de Lesd.) J.R.Laundon","lichens"
"Lepraria eburnea J.R.Laundon","lichens"
"Lepraria elobata Tønsberg","lichens"
"Lepraria frigida J.R.Laundon","lichens"
"Lepraria incana (L.) Ach.","lichens"
"Lepraria jackii Tønsberg","lichens"
"Lepraria lobificans Nyl.","lichens"
"Lepraria neglecta (Nyl.) Lettau","lichens"
"Lepraria obtusatica Tønsberg","lichens"
"Lepraria rigidula (B.de Lesd.) Tønsberg","lichens"
"Lepraria umbricola Tønsberg","lichens"
"Leprocaulon microscopicum (Vill.) Gams","lichens"
"Leprocaulon subalbicans (I.M.Lamb) I.M.Lamb & A.Ward","lichens"
"Leproloma cacuminum (A.Massal.) J.R.Laundon","lichens"
"Leproloma membranaceum (Dicks.) Vain.","lichens"
"Leproloma vouauxii (Hue) J.R.Laundon","lichens"
"Leptochidium albociliatum (Desm.) M.Choisy","lichens"
"Leptogium britannicum P.M.Jørg. & P.James","lichens"
"Leptogium burgessii (L.) Mont.","lichens"
"Leptogium cochleatum (Dicks.) P.M.Jørg. & P.James","lichens"
"Leptogium corniculatum (Hoffm.) Minks","lichens"
"Leptogium cyanescens (Ach.) Körb.","lichens"
"Leptogium gelatinosum (With.) J.R.Laundon","lichens"
"Leptogium hibernicum M.E.Mitch.","lichens"
"Leptogium imbricatum P.M.Jørg.","lichens"
"Leptogium intermedium (Arnold ex Malbr.) Arnold","lichens"
"Leptogium lichenoides (L.) Zahlbr.","lichens"
"Leptogium magnussonii Degel. & P.M.Jørg.","lichens"
"Leptogium plicatile (Ach.) Leight.","lichens"
"Leptogium saturninum (Dicks.) Nyl.","lichens"
"Leptogium subtile (Schrad.) Torss.","lichens"
"Leptogium tenuissimum (Dicks.) Körb.","lichens"
"Leptogium teretiusculum Wallr. ex Arnold","lichens"
"Leptogium tetrasporum Th.Fr.","lichens"
"Leptorhaphis atomaria (Ach.) Szatala","lichens"
"Letharia vulpina (L.) Hue","lichens"
"Lichenothelia scopularia (Nyl.) D.Hawksw.","lichens"
"Lichina confinis (O.F.Müll.) C.Agardh","lichens"
"Lichina pygmaea (Lightf.) C.Agardh","lichens"
"Lichingoldia gyalectiformis D.Hawksw. & Poelt","lichens"
"Lichinodium ahlneri Henssen","lichens"
"Lichinodium sirosiphoideum Nyl.","lichens"
"Lithographa tesserata (DC.) Nyl.","lichens"
"Lithographa varangrica (Th.Fr.) Zahlbr.","lichens"
"Lobaria amplissima (Scop.) Forssell","lichens"
"Lobaria hallii (Tuck.) Zahlbr.","lichens"
"Lobaria linita (Ach.) Rabenh.","lichens"
"Lobaria pulmonaria (L.) Hoffm.","lichens"
"Lobaria scrobiculata (Scop.) DC.","lichens"
"Lobaria virens (With.) J.R.Laundon","lichens"
"Lobothallia alphoplaca (Wahlenb.) Hafellner","lichens"
"Lobothallia melanaspis (Ach.) Hafellner","lichens"
"Lobothallia praeradiosa (Nyl.) Hafellner","lichens"
"Lobothallia radiosa (Hoffm.) Hafellner","lichens"
"Lopadium coralloideum (Nyl.) Lynge","lichens"
"Lopadium disciforme (Flot.) Kullh.","lichens"
"Lopadium pezizoideum (Ach.) Körb.","lichens"
"Loxospora elatina (Ach.) A.Massal.","lichens"
"Massalongia carnosa (Dicks.) Körb.","lichens"
"Megalaria grossa (Pers. ex Nyl.) Hafellner","lichens"
"Megalaria pulverea (Borrer) Hafellner & E.Schreiner","lichens"
"Megalospora tuberculosa (Fée) Sipman","lichens"
"Megaspora verrucosa (Ach.) Hafellner & V.Wirth, 1987","lichens"
"Melanelia agnata (Nyl.) A.Thell","lichens"
"Melanelia commixta (Nyl.) A.Thell","lichens"
"Melanelia disjuncta (Erichsen) Essl.","lichens"
"Melanelia elegantula (Zahlbr.) Essl.","lichens"
