"taxa","key","level","scientificName","include","functionalGroup"
"vascularPlants",7707728,"phylum","Tracheophyta",TRUE,NA
"fungi",5,"kingdom","Fungi",TRUE,NA
"lichens",NA,"polyphyla","Lichens",TRUE,NA
